"Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP"
"62,Reggie Bullock\bullore01,SF,25,DET,15,224,10.4,.517,.485,.061,2.9,12.1,7.4,7.7,1.4,1.1,8.1,14.7,,0.1,0.2,0.3,.072,,-1.4,0.2,-1.2,0.0"
"63,Trey Burke\burketr01,PG,24,WAS,52,653,10.6,.518,.262,.114,1.2,6.5,3.9,20.9,0.8,0.6,14.7,19.6,,0.2,0.3,0.5,.039,,-2.6,-3.3,-5.9,-0.6"
"64,Alec Burks\burksal01,SG,25,UTA,22,331,12.2,.535,.319,.370,1.8,11.5,6.8,7.6,1.9,0.7,11.5,22.2,,0.1,0.5,0.5,.077,,-2.2,-0.6,-2.9,-0.1"
"65,Jimmy Butler\butleji01,SF,27,CHI,53,1949,25.2,.584,.210,.563,4.8,14.0,9.3,23.6,2.5,0.6,9.2,27.1,,7.1,2.3,9.4,.231,,5.9,0.5,6.4,4.1"
"66,Bruno Caboclo\cabocbr01,SF,21,TOR,8,23,7.9,.300,.600,.000,14.6,14.9,14.7,16.8,4.4,0.0,28.6,13.5,,0.0,0.0,0.0,.005,,-2.2,2.5,0.3,0.0"
"67,Jose Calderon\caldejo01,PG,35,LAL,24,292,9.1,.508,.442,.052,2.9,12.7,7.6,25.2,1.2,0.3,24.8,15.3,,-0.1,0.1,0.0,.002,,-2.9,-2.2,-5.2,-0.2"
"68,Kentavious Caldwell-Pope\caldwke01,SG,23,DET,53,1802,13.9,.533,.459,.195,2.5,8.9,5.6,12.4,1.9,0.4,8.3,19.5,,1.9,1.9,3.8,.101,,1.6,0.3,1.8,1.7"
"69,Isaiah Canaan\canaais01,SG,25,CHI,33,572,8.4,.490,.537,.189,1.1,7.9,4.5,8.9,1.9,0.1,9.7,15.0,,0.1,0.4,0.5,.045,,-1.8,-1.3,-3.1,-0.2"
"70,Clint Capela\capelca01,C,22,HOU,45,1041,21.4,.644,.000,.317,11.4,24.6,18.0,6.4,1.0,4.8,11.9,19.7,,2.5,1.5,4.0,.186,,-0.3,1.1,0.9,0.8"
"71,DeMarre Carroll\carrode01,SF,30,TOR,53,1446,12.6,.545,.574,.207,3.7,13.1,8.4,5.3,2.2,1.2,7.7,15.6,,1.6,1.4,3.0,.101,,1.1,0.0,1.1,1.1"
"72,Vince Carter\cartevi01,SG,40,MEM,51,1226,12.0,.530,.589,.257,2.3,13.2,7.6,11.7,1.7,2.1,6.9,15.4,,1.4,1.6,2.9,.115,,0.1,1.1,1.2,1.0"
"73,Michael Carter-Williams\cartemi01,PG,25,CHI,27,587,10.6,.460,.213,.280,3.3,19.6,11.3,18.2,1.8,1.5,16.0,20.9,,-0.5,0.7,0.3,.022,,-3.5,0.9,-2.5,-0.1"
"74,Omri Casspi\casspom01,SF,28,TOT,23,421,11.4,.521,.262,.167,5.8,19.6,12.7,9.7,1.2,0.2,12.3,16.5,,0.1,0.3,0.4,.045,,-2.6,-1.3,-3.9,-0.2"
"74,Omri Casspi\casspom01,SF,28,SAC,22,397,11.4,.511,.248,.179,5.9,20.5,13.2,10.3,1.3,0.2,11.9,16.3,,0.1,0.3,0.4,.047,,-2.6,-1.0,-3.6,-0.2"
"74,Omri Casspi\casspom01,F,28,NOP,1,24,10.0,.667,.444,.000,4.3,4.4,4.4,0.0,0.0,0.0,18.2,20.3,,0.0,0.0,0.0,.012,,-2.5,-5.9,-8.4,0.0"
"75,Willie Cauley-Stein\caulewi01,C,23,SAC,52,712,16.4,.572,.008,.264,8.2,16.0,12.1,6.6,1.8,3.6,10.3,19.7,,0.9,0.7,1.6,.106,,-1.9,0.0,-1.9,0.0"
"76,Tyson Chandler\chandty01,C,34,PHO,47,1298,16.8,.703,.000,.544,12.8,33.7,22.9,3.3,1.2,1.5,19.2,11.4,,2.8,1.3,4.1,.151,,-0.7,0.3,-0.4,0.5"
"77,Wilson Chandler\chandwi01,SF,29,DEN,52,1602,15.2,.538,.325,.199,5.6,18.7,12.1,10.4,1.3,1.1,10.4,22.5,,1.7,0.8,2.5,.075,,0.5,-1.3,-0.8,0.5"
"78,Marquese Chriss\chrisma01,PF,19,PHO,58,1104,11.2,.503,.349,.262,6.4,14.6,10.4,5.1,2.1,2.6,12.4,19.7,,0.0,0.9,0.9,.037,,-2.0,-0.3,-2.3,-0.1"
"79,Rakeem Christmas\chrisra01,PF,25,IND,9,53,16.1,.498,.000,.538,21.6,22.9,22.2,2.6,0.9,8.2,15.7,16.1,,0.1,0.1,0.1,.135,,-3.5,1.3,-2.2,0.0"
"80,Semaj Christon\chrisse01,PG,24,OKC,41,603,5.6,.375,.264,.145,2.6,8.0,5.3,21.3,1.1,0.5,15.5,14.1,,-0.6,0.4,-0.1,-0.010,,-5.4,-1.9,-7.3,-0.8"
"81,Ian Clark\clarkia01,SG,25,GSW,53,754,13.6,.575,.416,.143,2.3,8.7,5.7,12.0,1.9,0.6,10.0,18.8,,0.8,0.9,1.7,.110,,0.0,-1.3,-1.3,0.1"
"82,Jordan Clarkson\clarkjo01,SG,24,LAL,59,1617,13.3,.525,.313,.156,2.5,9.3,5.8,12.9,2.3,0.3,12.7,23.2,,0.1,0.7,0.9,.025,,-0.7,-1.8,-2.6,-0.2"
